GAME_START,GAME_END,OPPONENT,LOCATION
1475348400,1475356800,New Orleans Pelicans,New Orleans
1475523000,1475531400,Charlotte Hornets,Dallas
1475955000,1475963400,Milwaukee Bucks,Milwaukee
1476214200,1476222600,Oklahoma City Thunder,Dallas
1476478800,1476487200,Phoenix Suns,Phoenix
1476905400,1476913800,Houston Rockets,Dallas
1477080000,1477088400,Denver Nuggets,Denver
1477504800,1477513200,Indiana Pacers,Indianapolis
1477683000,1477691400,Houston Rockets,Dallas
1477854000,1477862400,Houston Rockets,Houston
1478116800,1478125200,Utah Jazz,Salt Lake City
1478287800,1478296200,Portland Trail Blazers,Dallas
1478455200,1478463600,Milwaukee Bucks,Milwaukee
1478640600,1478649000,Los Angeles Lakers,Los Angeles
1478727000,1478735400,Golden State Warriors,Oakland
1479148200,1479156600,New York Knicks,New York
1479321000,1479329400,Boston Celtics,Boston
1479497400,1479505800,Memphis Grizzlies,Dallas
1479578400,1479586800,Orlando Magic,Orlando
1479756600,1479765000,San Antonio Spurs,San Antonio
1479929400,1479937800,Los Angeles Clippers,Dallas
1480098600,1480107000,Cleveland Cavaliers,Cleveland
1480269600,1480278000,New Orleans Pelicans,Dallas
1480534200,1480542600,San Antonio Spurs,Dallas
1480615200,1480623600,Charlotte Hornets,Charlotte
1480793400,1480801800,Chicago Bulls,Dallas
1480966200,1480974600,Charlotte Hornets,Dallas
1481139000,1481147400,Sacramento Kings,Dallas
1481311800,1481320200,Indiana Pacers,Dallas
1481396400,1481404800,Houston Rockets,Houston
1481571000,1481579400,Denver Nuggets,Dallas
1481743800,1481752200,Detroit Pistons,Dallas
1481923800,1481932200,Utah Jazz,Salt Lake City
1482084000,1482092400,Sacramento Kings,Dallas
1482177600,1482186000,Denver Nuggets,Denver
1482354000,1482362400,Portland Trail Blazers,Portland
1482528600,1482537000,Los Angeles Clippers,Los Angeles
1482778800,1482787200,New Orleans Pelicans,New Orleans
1482867000,1482875400,Houston Rockets,Dallas
1483047000,1483055400,Los Angeles Lakers,Los Angeles
1483133400,1483141800,Golden State Warriors,Oakland
1483471800,1483480200,Washington Wizards,Dallas
1483644600,1483653000,Phoenix Suns,Dallas
1483817400,1483825800,Atlanta Hawks,Dallas
1483988400,1483996800,Minnesota Timberwolves,Minneapolis
1484254800,1484263200,Phoenix Suns,Phoenix
1484492400,1484500800,Minnesota Timberwolves,Dallas
1484679600,1484688000,Chicago Bulls,Chicago
1484850600,1484859000,Miami Heat,Miami
1484940600,1484949000,Utah Jazz,Dallas
1485095400,1485103800,Los Angeles Lakers,Dallas
1485372600,1485381000,New York Knicks,Dallas
1485457200,1485465600,Oklahoma City Thunder,Oklahoma City
1485712800,1485721200,San Antonio Spurs,San Antonio
1485804600,1485813000,Cleveland Cavaliers,Dallas
1485977400,1485985800,Philadelphia 76ers,Dallas
1486157400,1486165800,Portland Trail Blazers,Portland
1486411200,1486419600,Denver Nuggets,Denver
1486495800,1486504200,Portland Trail Blazers,Dallas
1486668600,1486677000,Utah Jazz,Dallas
1486843200,1486851600,Orlando Magic,Dallas
1487014200,1487022600,Boston Celtics,Dallas
1487183400,1487191800,Detroit Pistons,Detroit
1487962800,1487971200,Minnesota Timberwolves,Minneapolis
1488051000,1488059400,New Orleans Pelicans,Dallas
1488227400,1488235800,Miami Heat,Dallas
1488393000,1488401400,Atlanta Hawks,Atlanta
1488569400,1488577800,Memphis Grizzlies,Dallas
1488742200,1488750600,Oklahoma City Thunder,Dallas
1488915000,1488923400,Los Angeles Lakers,Dallas
1489176000,1489184400,Brooklyn Nets,Dallas
1489262400,1489270800,Phoenix Suns,Dallas
1489429800,1489438200,Toronto Raptors,Toronto
1489600800,1489609200,Washington Wizards,Washington
1489773600,1489782000,Philadelphia 76ers,Philadelphia
1489921200,1489929600,Brooklyn Nets,Brooklyn
1490124600,1490133000,Golden State Warriors,Dallas
1490297400,1490305800,Los Angeles Clippers,Dallas
1490470200,1490478600,Toronto Raptors,Dallas
1490643000,1490651400,Oklahoma City Thunder,Dallas
1490814000,1490822400,New Orleans Pelicans,New Orleans
1490986800,1490995200,Memphis Grizzlies,Memphis
1491143400,1491151800,Milwaukee Bucks,Milwaukee
1491341400,1491349800,Sacramento Kings,Sacramento
1491427800,1491436200,Los Angeles Clippers,Los Angeles
1491593400,1491601800,San Antonio Spurs,Dallas
1491757200,1491765600,Phoenix Suns,Phoenix
1491939000,1491947400,Denver Nuggets,Dallas
1492023600,1492032000,Memphis Grizzlies,Memphis